"Excavator starting route made by Laura1, Zappy and inputs from others in PvM Encyclopedia - Hi ryan's stream!",FALSE,Points,Accumulated Points
"Hop some worlds at a Shifting tombs shortcut to find Corrupted Scarabs, squish at least 10.",FALSE,10,2100
Unlock Menaphos Lodestone in the center of the city,FALSE,,2100
Anachronia,FALSE,,2100
Teleport to Archaeology base camp with the Archaeology Journal,FALSE,,2100
"Go north east of the basecamp next to the river, board the Stormbreaker to Anachronia.",FALSE,10,2110
Complete the Anachronia base camp tutorial. Put all your workers on Clay untill you can make the lodestone.,FALSE,10,2120
"Leave anachronia basecamp on the north side, go east across the Malletops area, continue running east past the water untill you untill you run against a ledge, go north, you see a spine here, surge under it, go back and follow the ledge east of you, and click on the center of the crater.",FALSE,10,2130
"Do Herby Werby, you need to click the Zygomites, prioritise the zygomites with green particles for Herblore exp",FALSE,10,2140
Prifddinas and Tirannwn,FALSE,,2140
"If t3 relic is teleports, teleport to Prifddinas in any way, if its not, or you don't have a way to teleport there, look next 2 lines.",FALSE,,2140
"Lodestone teleport to Burthorpe, teleport to clan camp with the clan flag north east of you, rightclick Scibe directly west of you, claim Clan Vexillum, rightclick clan vex. teleport to the clan portal in Prifdinnas.",FALSE,,2140
"If you're not in a clan or that doesn't work, Lodestone teleport to Ardougne, go west to Arandor, then when you can go south or west, go west and you'll enter Prifddinas in Cadarn.",FALSE,,2140
"Go to the center, activate the Prifddinas lodestone.",FALSE,10,2150
Burn some logs using the everlasting bonfire in the northwest corner of the center,FALSE,10,2160
Climb the Tower of Voices using the stairs in the north east corner.,FALSE,10,2170
Grab some food from your bank for the trip to Tirannwn lodestone and Lletya,FALSE,,2170
"Go south through Prifddinas, leave it and go towards the Tirannwn lodestone, unlock it, when you see a rabbit, kill it and cook its meat.",FALSE,20,2190
Go north east and head to Lletya. ,FALSE,,2190
"Buy 3 Red, Blue and Yellow dyes from Oronwen in the house directly north of the Lletya entrance",FALSE,,2190
Buy an Oak shieldbow from Dalldav in the building directly south of you.,FALSE,,2190
"Buy a spade and 3 tinderboxes, 2 empty pots and 2 buckets from the general store in the northernmost building.",FALSE,,2190
Restore your prayer using the altar.,FALSE,10,2200
Use the bank in Lletya.,FALSE,,2200
"Kill Elf warriors untill you get an Elven teleport crystal, attack them from afar so you take minimal damage, droprate is 1/5.",FALSE,,2200
"Lodestone teleport to Port Sarim, use the charter ship to Port Tyras, and from there charter ship to Catherby, run north and unlock the Catherby Lodestone. Run west and unlock Seers Village Lodestone.",FALSE,10,2210
"Lodestone teleport to Prifddinas, run west then south to Ithell, next to the singing bowl ask Iswyn to recharge your Elven Teleport Crystal, use any teleport.",FALSE,30,2240
Preperation for Canifis,FALSE,,2240
"Buy a steel dagger, 2 steel sword, and a steel longsword from the sword shop in Varrock across the Blue Moon Inn.",FALSE,,2240
Buy 10 Bronze hatchets from Bob in Lumbridge.,FALSE,,2240
"Make Nettle tea by using Nettles you grabbed in Edgeville earlier, on a bowl of water that you bought at shantay, and then cook on a range.",FALSE,,2240
Canifis,FALSE,,2240
Archaeology Journal teleport to the campus or lodestone teleport to Fort Forinthry if you completed New Foundations earlier,FALSE,,2240
"Go north if from the campus, south if from Fort Forinthry, then east and mine some Limestone in the Silvarea Quarry.",FALSE,,2240
Go farther west and enter the Large door of the temple.,FALSE,,2240
"Go north and enter the mausoleum, kill Cerberus, then teleport to Varrock and talk with King Roald.",FALSE,,2240
"Go back to the temple and kill a Monk of Zamorak to obtain a golden key. Enter the mausoleum and go through the gate, study the monuments, use the golden key on the one that has the iron key.",FALSE,,2240
Fill a bucket with the water from the well in the center of the monuments.,FALSE,,2240
"Go to the top floor of the temple, use the iron key on the cell door and talk to drezel, use the bucket of blessed water on the coffin, return to the mausoleum.",FALSE,,2240
"Talk with Drezel, take 50 essences from your wicked hood and give them to him. This completes Priest in Peril and allows you to enter Morytania. Start Nature spirit by talking with Drezel again.",FALSE,,2240
Enter Morytania through the Holy Barrier,FALSE,10,2250
Go north and kill a Crawling Hand inside the Slayer Tower,FALSE,10,2260
Go east and unlock the Canifis lodestone.,FALSE,10,2270
"Go into Canifis and kill any human with wolfbane dagger equipped, cannot wield an offhand weapon for this.",FALSE,,2270
"Attack any human without wolfbane dagger equipped, this turns them into a Werewolf, kill it.",FALSE,10,2280
"Complete Nature's Spirit, During it make any snelm. Pray at the Nature Altar at the end. Jump the bridge untill 25 Agility like a certain swampman.",FALSE,20,2300
"Start Creature of Fenkenstrain, finish a game of Werewolf Skullball after you complete it.",FALSE,30,2330
"Complete Ghost Ahoy, while you're in the Haunted woods, kill 5 Feral Vampyres(use fire spells), Enter Port Phasmatys once through the western gate, and Visit Dragontooth Island by talking with the Ghost Captain.",FALSE,30,2360
"After Ghost Ahoy, use the ectophial to teleport to Ectofuntus.",FALSE,10,2370
"If 26 farming, plant and harvest(later) a limpwurt seed, if you don't have one, you can talk with a tool leprechaun to teleport to winkin's farm, get 70 points from Vinesweeper and buy it, this takes not even 5 minutes.",FALSE,,2370
"If you got 29 Hunter earlier from Whirligigs, Catch 10 green salamanders, you need small net and rope for this.",FALSE,30,2400
Complete Shades of Mort'ton quest.,FALSE,,2400
"Complete In search of the Myreque and In aid of the Myreque. You can buy raw snails from the Burgh de Rott after you repair it, cook them and give 15 to Ivan when you need to escort him to Burgh de Rott.",FALSE,,2400
Take an easy companion through a easy Route of Temple Trekking.,FALSE,,2400
Take a medium companion through a medium Route of Temple Trekking.,FALSE,30,2430
"Collect easy Canifis diary rewards from Hiylik Myna west of Canifis, if not 35 crafting, put it on crafting and otherwise put it on another skill of choice.",FALSE,,2430
"Complete Haunted Mine, after the quest also do Lair of Tarn Razorlor, if you have Voidwalker relic, you can teleport straight to Tarn's Lair. Make an salve amulet (e) and equip it.",FALSE,60,2490
After Route:,,,
"First things first, have fun!",,,
"To look for tasks, insert your name on the tasks list and look for tasks to do while working on AFK things.",,,
"Recommended quests to do: Evil Dave's Big Day out, Beneath Cursed Tides, The Grand tree, the Holy grail, Monkey Madness, Violet is Blue, You are it, Elemental Workshops.",,,
Getting tasks done should be priority to unlock higher tier relics before really grinding skills or pvm hard so they're faster.,,,
